TieuDe,TacGia,ChiTiet
"Nghiên cứu định hình cấu trúc mạng lưới chuỗi cung ứng thu gom tái chế hộp mực máy in cũ cho các cơ quan và trường học trên địa bàn thành phố Cần Thơ và các quận, huyện lân cận","['Đoàn Hoàng Tuấn', 'Nguyễn Thắng Lợi', 'Phạm Hoàng Tân', 'Trương Quỳnh Hoa']","Tập 54, Số 7 (2018) Trang: 1-8 "
Cải tiến tiêu chuẩn khoảng cách trong xây dựng chùm các phần tử rời rạc,"['Võ Văn Tài', 'Bành Văn Viên', 'Lê Thị Kim Ngọc']","Tập 54, Số 7 (2018) Trang: 101-108 "
Tổng hợp vật liệu cấu trúc spinel nickel ferrite NIxFE3-xO4 bằng phương pháp sol-gel và khảo sát hoạt tính quang xúc tác,"['Nguyễn Trương Xuân Vinh', 'Đoàn Văn Hồng Thiện', 'Huỳnh Kỳ Phương Hạ']","Tập 54, Số 7 (2018) Trang: 20-26 "
Đánh giá hiệu quả của giải thuật Quasi-Newton trong điều khiển trượt thích nghi sử dụng mạng nơ-ron RBF,"['Phạm Thanh Tùng', 'Nguyễn Chí Ngôn', 'Lê Thị Kiều Mai', 'Nguyễn Đình Tứ', 'Đồng Văn Hướng', 'Nguyễn Hứa Duy Khang']","Tập 54, Số 7 (2018) Trang: 27-34 "
"Tổng quan về pin nhiên liệu vi khuẩn: Lịch sử nghiên cứu, nguyên lý hoạt động và các cơ chế dịch chuyển điện tử giữa các màng sinh học vi khuẩn với các điện cực rắn","['Thiều Quang Quốc Việt', 'Phạm Văn Toàn', 'Quách Ngọc Thịnh']","Tập 54, Số 7 (2018) Trang: 35-47 "
"Tương quan giữa tốc độ biến dạng ngang và tốc độ biến dạng đứng của đất ven sông phường 1, thành phố Vĩnh Long, tỉnh Vĩnh Long","['Văn Hữu Huệ', 'Nguyễn Văn Xuân']","Tập 54, Số 7 (2018) Trang: 48-56 "
Nghiên cứu hệ thống cây xanh ở Trường Trung Cấp Nông Lâm Nghiệp Bình Dương,['Đinh Thanh Sang'],"Tập 54, Số 7 (2018) Trang: 57-65 "
Phát triển công nghệ chưng cất màng tiếp xúc trực tiếp dạng nhúng chìm để xử lý nước nhiễm mặn,"['Ngô Thị Trà My', 'Bùi Xuân Thành', 'Nguyễn Thị Hậu', 'Nguyễn Công Nguyên']","Tập 54, Số 7 (2018) Trang: 66-71 "
Bước đầu nghiên cứu thành phần hóa học và tác dụng kháng viêm in vitro của lá khế (Averrhoa carambola L.),"['Huỳnh Anh Duy', 'Nguyễn Thị Tuyết Nhi']","Tập 54, Số 7 (2018) Trang: 72-76 "
Điều chế hạt nano vàng sử dụng chất khử trong lá trà định hướng ứng dụng trong mỹ phẩm,"['Nguyễn Ngọc Khánh Anh', 'Nguyễn Thị Tuyết Nhung', 'Nguyễn Thị Diễm Hương']","Tập 54, Số 7 (2018) Trang: 77-84 "
Khả năng kháng oxy hóa và bảo vệ tế bào MIN6 tụy tạng của dịch trích methanol lá xoài non (Mangifera indica L.),"['Nguyen Thi Ai Lan', 'Đái Thị Xuân Trang']","Tập 54, Số 7 (2018) Trang: 85-93 "
Bộ điều khiển PID dựa trên mạng nơ-ron hàm cơ sở xuyên tâm,"['Huỳnh Thế Hiển', 'Nguyễn Hoàng Dũng', 'Huỳnh Minh Vũ']","Tập 54, Số 7 (2018) Trang: 9-19 "
Khảo sát khả năng bảo vệ gan của cao methanol lá Mơ Leo (Paederia scandens L.) trên chuột tổn thương gan bằng carbon tetrachloride,"['Phan Kim Định', 'Đái Thị Xuân Trang', 'Nguyễn Trọng Tuân', 'Nguyễn Thị Thanh Lan']","Tập 54, Số 7 (2018) Trang: 94-100 "
